Grand Illusion,Jean Renoir,1937,France
Seven Samurai,Akira Kurosawa,1954,Japan
The Lady Vanishes,Alfred Hitchcock,1938,United Kingdom
Amarcord,Federico Fellini,1974,Italy
The 400 Blows,François Truffaut,1959,France
Beauty and the Beast,Jean Cocteau,1946,France
A Night To Remember,Roy Ward Baker,1958,United Kingdom
The Killer,John Woo,1989,Hong Kong
Hard Boiled,John Woo,1992,Hong Kong
Walkabout,Nicolas Roeg,1971,Australia
The Seventh Seal,Ingmar Bergman,1957,Sweden
This Is Spinal Tap,Rob Reiner,1984,United States
The Silence of the Lambs,Jonathan Demme,1991,United States
Samurai I: Musashi Miyamoto,Hiroshi Inagaki,1954,Japan
Samurai II: Duel at Ichijoji Temple,Hiroshi Inagaki,1955,Japan
Samurai III: Duel at Ganryu Island,Hiroshi Inagaki,1956,Japan
"Salò, or the 120 Days of Sodom",Pier Paolo Pasolini,1975,Italy
The Naked Kiss,Samuel Fuller,1965,United States
Shock Corridor,Samuel Fuller,1963,United States
Sid & Nancy,Alex Cox,1986,United Kingdom
Dead Ringers,David Cronenberg,1988,United States
Summertime,David Lean,1955,United States
RoboCop,Paul Verhoeven,1987,United States
High and Low,Akira Kurosawa,1963,Japan
Alphaville,Jean-Luc Godard,1965,France
The Long Good Friday,John Mackenzie,1979,United Kingdom
Flesh For Frankenstein,Paul Morrissey,1973,United States
Blood For Dracula,Paul Morrissey,1974,United States
Picnic at Hanging Rock,Peter Weir,1975,Australia
M,Fritz Lang,1931,Germany
Great Expectations,David Lean,1946,United Kingdom
Oliver Twist,David Lean,1948,United Kingdom
Nanook of the North,Robert Flaherty,1922,United States
Andrei Rublev,Andrei Tarkovsky,1969,Soviet Union
Diabolique,Henri-Georges Clouzot,1954,France
The Wages of Fear,Henri-Georges Clouzot,1953,France
Time Bandits,Terry Gilliam,1981,United Kingdom
Branded to Kill,Seijun Suzuki,1967,Japan
Tokyo Drifter,Seijun Suzuki,1966,Japan
Armageddon,Michael Bay,1998,United States
Henry V,Laurence Olivier,1944,United Kingdom
Fishing With John,John Lurie,1992,United States
Lord of the Flies,Peter Brook,1963,United Kingdom
The Red Shoes,Michael Powell,1948,United Kingdom
Taste of Cherry,Abbas Kiarostami,1997,Iran
The Most Dangerous Game,Ernest B. Schoedsack,1932,United States
Insomnia,Erik Skjoldbjærg,1997,Norway
Black Orpheus,Marcel Camus,1959,Brazil
Nights of Cabiria,Federico Fellini,1957,Italy
And the Ship Sails On,Federico Fellini,1984,Italy
Brazil,Terry Gilliam,1985,United Kingdom
Yojimbo,Akira Kurosawa,1961,Japan
Sanjuro,Akira Kurosawa,1962,Japan
For All Mankind,Al Reinert,1989,United States
The Unbearable Lightness of Being,Phillip Kaufman,1988,United States
The 39 Steps,Alfred Hitchcock,1935,United Kingdom
Charade,Stanley Donen,1963,United States
Peeping Tom,Michael Powell,1960,United Kingdom
The Night Porter,Liliana Cavani,1974,Italy
Autumn Sonata,Ingmar Bergman,1978,Sweden
Monty Python's Life of Brian,Terry Jones,1979,United Kingdom
The Passion of Joan of Arc,Carl Th. Dreyer,1928,France
Carnival of Souls,Herk Harvey,1962,United States
The Third Man,Carol Reed,1949,United Kingdom
Rushmore,Wes Anderson,1998,United States
The Orphic Trilogy,Jean Cocteau,,France
The Blood of a Poet,Jean Cocteau,1930,France
Orpheus,Jean Cocteau,1949,France
Testament of Orpheus,Jean Cocteau,1959,France
The Last Temptation of Christ,Martin Scorsese,1988,United States
The Magic Flute,Ingmar Bergman,1975,Sweden
Le million,René Clair,1931,France
Cléo from 5 to 7,Agnès Varda,1962,France
Vagabond,Agnès Varda,1985,France
Chasing Amy,Kevin Smith,1997,United States
Brief Encounter,David Lean,1945,United Kingdom
And God Created Woman,Roger Vadim,1956,France
The Bank Dick,Edward Cline,1950,United States
W.C. Fields: Six Short Films,"Monte Brice, Clyde Bruckman, Edwin Middleton, Leslie Pearce and Arthur Ripley",1933,United States
The Element of Crime,Lars von Trier,1933,Denmark
Variety Lights,Federico Fellini,1984,Italy
Hamlet,Laurence Olivier,1950,United Kingdom
The Harder They Come,Perry Henzell,1948,United States
Good Morning,Yasujiro Ozu,1973,Japan
Pygmalion,Anthony Asquith,1959,United Kingdom
Eisenstein: The Sound Years,Sergei Eisenstein,1938,Soviet Union
Alexander Nevsky,Sergei Eisenstein,1938,Soviet Union
Ivan the Terrible Parts I and II,Sergei Eisenstein,1943,Soviet Union
Sisters,Brian De Palma,1973,United States
Kwaidan,Masaki Kobayashi,1965,Japan
The Blob,Irvin S. Yeawoth,1958,United States
Fiend Without a Face,Arthur Crabtree,1958,United States
Black Narcissus,Michael Powell,1957,United Kingdom
I Know Where I'm Going!,Michael Powell,1956,United Kingdom
All That Heaven Allows,Douglas Sirk,1966,United States
Written on the Wind,Douglas Sirk,1956,United States
Do the Right Thing,Spike Lee,1989,United States
L'avventura,Michelangelo Antonioni,1960,Italy
Gimme Shelter,David Maysles,1970,United States
Beastie Boys Video Anthology,Various,2000,United States
Cries and Whispers,Ingmar Bergman,1972,Sweden
The Discreet Charm of the Bourgeoisie,Luis Buñuel,1972,France
The Lady Eve,Preston Sturges,1941,United States
Double Suicide,Masahiro Shinoda,1969,Japan
Spartacus,Stanley Kubrick,1960,United States
Coup de torchon,Bertrand Tavernier,1981,France
Mona Lisa,Neil Jordan,1986,United Kingdom
The Rock,Michael Bay,1996,United States
The Scarlet Empress,Josef von Sternberg,1934,United States
Monsieur Hulot's Holiday,Jacques Tati,1953,France
